codigoplanta,codigoduracion,codigosicagente,codigovariable,fechahora,unidadmedida,valor,version,source_file,dataset_slug,period_start,period_end,processed_at,year,month,codigounidadgeneracion,estadorecurso,fpo,fecha,fechapublicacion,nombreunidad,tipogeneracion,source_file_ref,dataset_slug_ref,period_start_ref,period_end_ref,processed_at_ref,year_ref,month_ref
2V27,PT1H,DEPG,GReal,2025-04-05 10:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt09078,Operacion,2018-07-25,2025-05-06 00:00:00,2026-04-09,AUTOG COCA-COLA FEMSA 1,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
INZ1,PT1H,GNCG,GReal,2025-04-05 02:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09880,Operacion,2009-02-05,2025-05-06 00:00:00,2026-04-09,INZA 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3EDL,PT1H,ISGG,GReal,2025-04-05 17:00:00,kWh,714.74,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns10127,Operacion,2022-09-12,2025-05-06 00:00:00,2026-04-09,BOSQUES SOLARES DE LOS LLANOS 5 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
4UZS,PT1H,EYCG,GReal,2025-04-05 02:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns52903,Operacion,2025-05-08,2025-05-19 00:00:00,2026-04-09,SOL Y CIELO V 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
TPUY,PT1H,EPMG,GReal,2025-04-05 09:00:00,kWh,86543.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns19470,Operacion,2024-06-12,2025-05-06 00:00:00,2026-04-09,PARQUE SOLAR TEPUY 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
GQA1,PT1H,ISGG,GReal,2025-04-05 07:00:00,kWh,7365.72,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09877,Operacion,1935-01-01,2025-05-06 00:00:00,2026-04-09,GUANAQUITAS 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
3HYG,PT1H,UNGG,GReal,2025-04-05 07:00:00,kWh,377.41,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Uns16421,Operacion,2023-06-18,2025-05-06 00:00:00,2026-04-09,URUACO 1,Solar,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
PPA3,PT1H,HIMG,GReal,2025-04-05 22:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unt03234,Operacion,1982-05-06,2025-05-06 00:00:00,2026-04-09,PAIPA 3,Termica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
SJN1,PT1H,GNCG,GReal,2025-04-05 18:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09917,Operacion,1995-01-01,2025-05-06 00:00:00,2026-04-09,SAJANDI 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
SJN1,PT1H,GNCG,GReal,2025-04-05 06:00:00,kWh,0.0,TX5,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/04/generacion-real-2025-04-01_2025-04-30.json,generacion-real,2025-04-01,2025-04-30,2026-05-22 03:58:59.529,2025,4,Unh09917,Operacion,1995-01-01,2025-05-06 00:00:00,2026-04-09,SAJANDI 1,Hidraulica,s3://eafit-proyecto-integrador-simem/bronze/simem-data/2025/05/unidades-generacion-2025-05-01_2025-05-31.json,unidades-generacion,2025-05-01,2025-05-31,2026-05-22 04:05:57.189,2025,5
